path	type	size_bytes	sha256	mtime_epoch	decision
_archive_bak/jules_cloud_api.py.bak_unreg	file	8897	53908baf3e8a1efa78487c96a06ad5049e7434a0643582a268b59063f2c6d5eb	1777789366	archive_and_stage
_archive_bak/jules_cloud_api.py.bak_comment	file	6047	2e5a1ba42ab7d44dfb3292e927c27421cdd06ee8b81e9911552aaa6fbc95d108	1777787493	archive_and_stage
_archive_bak/jules_cloud_api.py.bak	file	2971	54019dc7db01087c17dde8ea63c915c85036ca3205fecdb2d7787a6ec8e466bc	1777787493	archive_and_stage
_archive_bak/jules_cloud_api.py.bak_routes_1777789721	file	8897	53908baf3e8a1efa78487c96a06ad5049e7434a0643582a268b59063f2c6d5eb	1777789721	archive_and_stage
_archive_bak/jules_cloud_api.py.bak2	file	6047	2e5a1ba42ab7d44dfb3292e927c27421cdd06ee8b81e9911552aaa6fbc95d108	1777787635	archive_and_stage
_archive_bak/jules_cloud_api.py.bak_mixed	file	6067	304ddc2145ea2056c1263f8da62d68d225694c89faa0efd9870dfb130f43d3d5	1777789366	archive_and_stage
_archive_bak/jules_cloud_api.py.bak_before_unregister	file	8897	53908baf3e8a1efa78487c96a06ad5049e7434a0643582a268b59063f2c6d5eb	1777789485	archive_and_stage
_snapshots/taiji_hub_integrity_20260504_223432.tar.gz	file	133086	179de7e9f2da43f470aada6e72190423785a907f4d3635d4c88ce2ad9c183968	1777905272	archive_and_stage
_evidence/platform_risk/platform_interference_log.md	file	890	ab007409b62e60e93e067ea71de6748cc2ae790d9f08938b6234ea83ec8a1c5b	1777905287	archive_and_stage
evidence_snapshots/wuchang_spatial_logic_20260505_004101.tar.gz.sha256	file	130	8e3cf30991e90b1b6f6eca51aaa14d48b8422816017b6aec07ed727bbe056d39	1777912861	archive_and_stage
evidence_snapshots/wuchang_spatial_logic_20260505_004101.tar.gz	file	801	2d5801ff451e40a711f42d86253dcbfa08dec8c77e364da125392d3373478bef	1777912861	archive_and_stage
archive/duplicates/jules_cloud_api.CloudRun_Auto_Target.py	file	3024	2e0b4b35d6f9993c91531ab4e0a99b238878f262065de41e09e256dfb7517830	1777675222	archive_and_stage
archive/duplicates/jules_cloud_api.jules_cloud_deployment.py	file	1913	3cb9839d6f4fad184c4d0d7af4fe47099608131c9e2e7be10f6bfa2acaa5cada	1777654986	archive_and_stage
archive/duplicates/jules_cloud_api.cloud_proxy_update.py	file	3330	d309e44f4257dbcebbf794527b8c7ef3e6f53e2813a8f14cd50f7b0c0d161453	1777664106	archive_and_stage
_trash_miscreated/User-Agent:	file	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1777790319	archive_and_stage
_trash_miscreated/POST	file	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1777790318	archive_and_stage
_trash_miscreated/Accept:	file	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1777790319	archive_and_stage
_trash_miscreated/Content-Length:	file	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1777790319	archive_and_stage
_trash_miscreated/Host:	file	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1777790318	archive_and_stage
_trash_miscreated/Content-Type:	file	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1777790319	archive_and_stage
wuchang_cognition_archive/scripts/verify_cognition_archive.sh	file	522	68234b3fb31cd4c26a742175b7f92f6e0ebfb78a82035d8aebc68a4e4b46f4b5	1777912664	archive_and_stage
wuchang_cognition_archive/outreach/OPENAI_GRATITUDE_LETTER_SENT_20260505_024459.txt	file	1300	892ca9d1f4669bc84d080320c48f2ac71059144a0952d198a056b3413c4c0e89	1777920299	archive_and_stage
wuchang_cognition_archive/legal/ASSOCIATION_BYLAW_AND_COMMUNITY_DEVELOPMENT_AUTHORITY_20260505_011535.txt	file	6166	84fde5201145d473a52327b467101e6b0543f33174ba3399da445ace97b0acdf	1777914935	archive_and_stage
wuchang_cognition_archive/nodes/02_始祖開發平台與聊國咖啡館重新總店.txt	file	1091	5905d4af285e31d1dc07deb90856ef39d65c2ff7f75c148e94cc881b9160cef9	1777912664	archive_and_stage
wuchang_cognition_archive/nodes/01_目前節點均由創造者控制.txt	file	1051	baa68c254c0785fbc84bb973a0f3e50a5d76d147b528feee3811de7572f93949	1777912664	archive_and_stage
wuchang_cognition_archive/nodes/03_Tailscale節點原型治理.txt	file	1031	0512759d0f50b76fcc1b29c6e5432147099bde4cef121b7805f1e2e184b45ab9	1777912664	archive_and_stage
wuchang_cognition_archive/browser_operator/XIAOJ_LIVE_BROWSER_OPERATOR_20260505_021828.txt	file	1676	2224a4e15c52ecc42b516238b8fe6dc4c96db0de08aeb442d84162a2608dc9d2	1777918708	archive_and_stage
wuchang_cognition_archive/governance/02_雙層可究責自然人與權限規則.txt	file	1225	d232cda170fa045147405045f710788c5b5752a2862554c91e742487f9e397cd	1777912664	archive_and_stage
wuchang_cognition_archive/governance/05_無明文資料與物理封存.txt	file	1028	9e9c1debfe8c023d1e3b987189f337b7ebe05f1ef6694212d1ef9ad9417a2fb7	1777912664	archive_and_stage
wuchang_cognition_archive/governance/03_本人度量規則.txt	file	987	739f158aca22395bc4e9bdea83c2121c0c54fa455ce4f338975b157ccbabcf80	1777912664	archive_and_stage
wuchang_cognition_archive/governance/04_反冒名與使用者資訊不回傳.txt	file	1287	4ecc92f4ec3f9b8b50ef8938390a9511202980656863ff4fee5824b90ff68079	1777912664	archive_and_stage
wuchang_cognition_archive/governance/01_開發期間非營運狀態.txt	file	1027	1301760b4b6a628ee22c88e2c2c4424c313586852bdee4582e5c82a955c6a677	1777912664	archive_and_stage
wuchang_cognition_archive/README_五常智慧雲認知收斂總說明.txt	file	1012	efc36a3d4b47325b028a59cafe0d697b635e5b694ccd3d5ce5a2733e1f57c653	1777912664	archive_and_stage
